iter	Passed	Remaining
0	142	142323
1	144	71904
2	145	48356
3	146	36520
4	147	29437
5	149	24688
6	150	21296
7	151	18753
8	152	16824
9	154	15258
10	155	13970
11	156	12886
12	157	11962
13	158	11166
14	159	10487
15	160	9896
16	162	9411
17	164	8948
18	165	8524
19	166	8154
20	167	7812
21	168	7500
22	169	7215
23	171	6969
24	172	6735
25	173	6508
26	174	6299
27	175	6106
28	177	5931
29	178	5766
30	179	5615
31	180	5468
32	181	5332
33	183	5203
34	184	5082
35	185	4968
36	186	4856
37	187	4751
38	188	4653
39	189	4558
40	191	4475
41	192	4394
42	193	4312
43	195	4237
44	196	4164
45	197	4093
46	198	4024
47	199	3961
48	200	3897
49	201	3835
50	202	3776
51	204	3722
52	205	3678
53	207	3628
54	208	3576
55	209	3528
56	210	3481
57	211	3434
58	212	3389
59	213	3349
60	215	3311
61	216	3270
62	217	3230
63	218	3191
64	219	3156
65	220	3121
66	221	3088
67	223	3057
68	224	3027
69	225	2994
70	226	2962
71	227	2932
72	229	2908
73	230	2879
74	231	2852
75	232	2826
76	233	2801
77	235	2778
78	236	2759
79	237	2735
80	238	2710
81	240	2687
82	240	2660
83	242	2640
84	243	2620
85	244	2599
86	245	2578
87	246	2558
88	248	2539
89	249	2524
90	251	2509
91	252	2492
92	253	2475
93	255	2459
94	256	2442
95	257	2427
96	259	2412
97	260	2397
98	261	2382
99	264	2377
100	265	2364
101	267	2354
102	268	2341
103	270	2327
104	272	2323
105	273	2310
106	275	2300
107	277	2289
108	278	2277
109	280	2270
110	281	2258
111	283	2246
112	284	2234
113	285	2222
114	287	2210
115	288	2199
116	289	2186
117	290	2174
118	292	2164
119	293	2155
120	295	2144
121	296	2132
122	297	2122
123	299	2112
124	300	2101
125	301	2092
126	302	2080
127	303	2070
128	305	2060
129	306	2050
130	307	2042
131	309	2033
132	310	2025
133	312	2016
134	313	2007
135	314	1999
136	316	1991
137	317	1983
138	319	1977
139	320	1969
140	322	1962
141	323	1952
142	324	1944
143	325	1936
144	327	1929
145	328	1924
146	332	1928
147	333	1920
148	334	1912
149	336	1908
150	338	1900
151	339	1893
152	340	1886
153	341	1878
154	343	1872
155	346	1874
156	347	1868
157	349	1861
158	350	1854
159	351	1847
160	352	1839
161	354	1834
162	355	1827
163	357	1821
164	359	1817
165	360	1811
166	362	1806
167	364	1804
168	365	1798
169	367	1794
170	368	1788
171	370	1784
172	372	1780
173	374	1776
174	376	1773
175	377	1768
176	379	1763
177	381	1761
178	383	1757
179	386	1762
180	390	1766
181	392	1763
182	394	1759
183	395	1754
184	400	1762
185	406	1779
186	409	1780
